Index,index,"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","MODE OF ACQUISITION 
","BROADCASTE DATE AND TIME 
"
198,198,TCS,Tata Consultancy Services Limited,Ganesan Krishnamurthy,Employees/Designated Employees,0.0,125,250625,Sell,Equity Shares,22788,Market Sale,10-Jun-2020 18:52
199,199,TCS,Tata Consultancy Services Limited,Ganesan Krishnamurthy,Employees/Designated Employees,0.0,500,1016000,Sell,Equity Shares,22288,Market Sale,10-Jun-2020 18:52
200,200,TECHM,Tech Mahindra Limited,Rajesh Ethakur Plakkote,Employees/Designated Employees,0.0,2000,1200000,Sell,Equity Shares,38257,Market Sale,11-Jun-2020 14:32
201,201,TIINDIA,Tube Investments of India Limited,Srinivasan K R,Employees/Designated Employees,0.02,25000,9930243,Sell,Equity Shares,9090,Market Sale,10-Jun-2020 16:49
202,202,TIINDIA,Tube Investments of India Limited,Mahendra Kumar K,Key Managerial Personnel,0.01,2671,1054590,Sell,Equity Shares,7337,Market Sale,10-Jun-2020 16:49
203,203,TIINDIA,Tube Investments of India Limited,Mahendra Kumar K,Key Managerial Personnel,0.0,3688,1479255,Sell,Equity Shares,3649,Market Sale,10-Jun-2020 16:49
204,204,VAIBHAVGBL,Vaibhav Global Limited,Vaibhav Global Employee Stock Option Welfare Trust,Other,0.07,2986,3605349,Sell,Equity Shares,19384,Market Sale,11-Jun-2020 23:35
205,205,VAIBHAVGBL,Vaibhav Global Limited,Vaibhav Global Employee Stock Option Welfare Trust,Other,0.06,564,679056,Sell,Equity Shares,18820,Market Sale,11-Jun-2020 23:35
206,206,VAIBHAVGBL,Vaibhav Global Limited,Vaibhav Global Employee Stock Option Welfare Trust,Other,0.09,100,115100,Sell,Equity Shares,28506,Market Sale,11-Jun-2020 23:35
207,207,VAIBHAVGBL,Vaibhav Global Limited,Vaibhav Global Employee Stock Option Welfare Trust,Other,0.16,22950,25348166,Sell,Equity Shares,28606,Market Sale,11-Jun-2020 23:35
208,208,VAIBHAVGBL,Vaibhav Global Limited,Vaibhav Global Employee Stock Option Welfare Trust,Other,0.09,6136,7121958,Sell,Equity Shares,22370,Market Sale,11-Jun-2020 23:35
209,209,VBL,Varun Beverages Limited,RAVI KANT JAIPURIA AND SONS (HUF),Promoters,19.91,2100000,1291500000,Sell,Equity Shares,55381805,Market Sale,09-Jun-2020 18:27
210,210,VBL,Varun Beverages Limited,Vivek Gupta,Promoter Group,0.08,2881,1812443,Sell,Equity Shares,222674,Market Sale,10-Jun-2020 16:08
211,211,VBL,Varun Beverages Limited,Vivek Gupta,Promoter Group,0.08,12512,7929019,Sell,Equity Shares,225555,Market Sale,09-Jun-2020 17:53
212,212,VGUARD,V-Guard Industries Limited,SUDARSHAN KASTURI,Key Managerial Personnel,0.01,13192,2455436,Sell,Equity Shares,16105,Market Sale,09-Jun-2020 15:28
213,213,VGUARD,V-Guard Industries Limited,Nandagopal Nair,Employees/Designated Employees,0.0,5000,933298,Sell,Equity Shares,2326,Market Sale,09-Jun-2020 15:28
214,214,WHEELS,Wheels India Limited,Sundaram Finance Holdings Limited,Promoters,13.58,1200821,513471060,Buy,Equity Shares,4469917,Inter-se-Transfer,09-Jun-2020 17:31
215,215,WHEELS,Wheels India Limited,Titan Europe Limited,Promoters,20.0,1200821,5134711,Sell,Equity Shares,3612091,Market Sale,09-Jun-2020 17:52
216,216,WIPRO,Wipro Limited,Abidali Neemuchwala,-,0.0,75000,19430781,Sell,ADR/GDR/FCCB,689688,Market Sale,09-Jun-2020 21:15
217,217,WIPRO,Wipro Limited,Abidali Neemuchwala,-,0.0,75000,18930394,Sell,ADR/GDR/FCCB,764688,Market Sale,09-Jun-2020 21:15
218,218,WIPRO,Wipro Limited,Abidali Neemuchwala,-,0.0,960000,3611040,Buy,ADR/GDR/FCCB,1649688,ESOP,09-Jun-2020 21:15
219,219,WONDERLA,Wonderla Holidays Limited,Kochouseph Chittilappilly,Promoters,26.5,7800,1010947,Buy,Equity Shares,14985928,Market Purchase,09-Jun-2020 13:50
